listing_id,building_name,full_address,street,city,state,zip,lat,lon,dist_to_campus_km,unit_label,beds,baths,sqft,rent_raw,rent_min,rent_max,price_type,is_per_bed,is_shared_bedroom,year_built,num_units,building_type,stories,has_in_unit_laundry,has_on_site_laundry,has_dishwasher,has_ac,has_heat_included,has_water_included,has_internet_included,is_furnished,has_gym,has_pool,has_rooftop_or_clubroom,has_parking_available,has_garage,pets_allowed,is_student_branded,scrape_date,source_url
y5cfefs-2.0bed,2300 Aldrich Ave S,"2300 Aldrich Ave S, Minneapolis, MN 55405
Property Website",2300 Aldrich Ave S,Minneapolis,MN,55405,44.9600418,-93.289554,4.46,,2.0,1.0,800,"$1,480",1480.0,1480.0,per_unit,False,,,,,,True,True,False,True,False,False,False,True,False,False,False,True,False,True,True,2025-11-26T20:29:29.140890,https://www.apartments.com/2300-aldrich-ave-s-minneapolis-mn/y5cfefs/
w4p4rfj-1.0bed,PERIS Hill,"1930 Hennepin Ave S, Minneapolis, MN 55403
Property Website",1930 Hennepin Ave S,Minneapolis,MN,55403,44.9632633,-93.2914084,4.5,,1.0,1.0,648,"$1,337",1337.0,1337.0,per_unit,False,,,,,,True,False,True,True,False,False,False,True,True,False,False,True,False,True,True,2025-11-26T20:31:13.024913,https://www.apartments.com/peris-hill-minneapolis-mn/w4p4rfj/
w4p4rfj-0bed,PERIS Hill,"1930 Hennepin Ave S, Minneapolis, MN 55403
Property Website",1930 Hennepin Ave S,Minneapolis,MN,55403,44.9632633,-93.2914084,4.5,,0.0,1.0,468,$999,999.0,999.0,per_unit,False,,,,,,True,False,True,True,False,False,False,True,True,False,False,True,False,True,True,2025-11-26T20:31:13.019135,https://www.apartments.com/peris-hill-minneapolis-mn/w4p4rfj/
n84f95q-0bed,Garfield Court,"2101 Garfield Ave S, Minneapolis, MN 55405
Property Website",2101 Garfield Ave S,Minneapolis,MN,55405,44.9617681,-93.2862599,4.16,,0.0,1.0,370,$900,900.0,900.0,per_unit,False,,,,,,True,True,False,True,False,False,False,True,False,False,False,True,False,True,True,2025-11-26T20:31:24.179733,https://www.apartments.com/garfield-court-minneapolis-mn/n84f95q/
vgw34yf-1.0bed,1786 Hennepin Ave S,"1786 Hennepin Ave S,
Minneapolis, MN 55405",1786 Hennepin Ave S,Minneapolis,MN,55405,44.9657662,-93.2893029,4.28,,1.0,1.0,650,$995,995.0,995.0,per_unit,False,,,,,,False,True,False,True,False,False,False,True,False,False,False,True,False,True,True,2025-11-26T20:31:35.016447,https://www.apartments.com/1786-hennepin-ave-s-minneapolis-mn/vgw34yf/
9pe4cs7-2.0bed,2315-2321 Dupont Ave S,"2315-2321 Dupont Ave S, Minneapolis, MN 55405",2315-2321 Dupont Ave S,Minneapolis,MN,55405,44.9681292,-93.29233,4.47,,2.0,1.0,900,"$1,250",1250.0,1250.0,per_unit,False,,,,,,True,True,True,True,False,False,False,True,False,False,False,True,False,True,True,2025-11-26T20:32:26.519682,https://www.apartments.com/2315-2321-dupont-ave-s-minneapolis-mn/9pe4cs7/
dk8pbzk-2.0bed,809 Douglas Ave,"809 Douglas Ave, Minneapolis, MN 55403",809 Douglas Ave,Minneapolis,MN,55403,44.966317,-93.2898698,4.31,,2.0,1.0,720,"$1,600",1600.0,1600.0,per_unit,False,,,,,,True,False,False,True,False,False,False,True,False,False,False,True,False,True,True,2025-11-26T20:32:38.471120,https://www.apartments.com/809-douglas-ave-minneapolis-mn/dk8pbzk/
bnp0x5c-2.0bed,The Miramar,"2309 Lyndale Ave S, Minneapolis, MN 55405
Property Website",2309 Lyndale Ave S,Minneapolis,MN,55405,44.9598827,-93.2876205,4.33,,2.0,1.0,961,"$1,650",1650.0,1650.0,per_unit,False,,,,,,True,False,True,True,False,False,False,True,False,False,False,True,True,True,True,2025-11-26T20:33:00.572879,https://www.apartments.com/the-miramar-minneapolis-mn/bnp0x5c/
n0b4kmp-1.0bed,2009 Bryant Ave S,"2009 Bryant Ave S, Minneapolis, MN 55405
Property Website",2009 Bryant Ave S,Minneapolis,MN,55405,44.9622144,-93.2902295,4.44,,1.0,1.0,600,"$1,074",1074.0,1074.0,per_unit,False,,,,,,True,True,False,True,True,False,False,True,False,False,False,True,False,True,True,2025-11-26T20:33:51.990039,https://www.apartments.com/2009-bryant-ave-s-minneapolis-mn/n0b4kmp/
n0b4kmp-0bed,2009 Bryant Ave S,"2009 Bryant Ave S, Minneapolis, MN 55405
Property Website",2009 Bryant Ave S,Minneapolis,MN,55405,44.9622144,-93.2902295,4.44,,0.0,1.0,400,$974,974.0,974.0,per_unit,False,,,,,,True,True,False,True,True,False,False,True,False,False,False,True,False,True,True,2025-11-26T20:33:51.986815,https://www.apartments.com/2009-bryant-ave-s-minneapolis-mn/n0b4kmp/
qysqepz-1.0bed,311 Kenwood Apartments,"311 Kenwood Pky, Minneapolis, MN 55403
Property Website",311 Kenwood Pky,Minneapolis,MN,55403,44.9695938,-93.2913565,4.38,,1.0,1.0,800,"$1,395",1395.0,1395.0,per_unit,False,,,,,,True,False,True,True,False,False,False,True,False,False,False,True,False,True,True,2025-11-26T20:36:31.345972,https://www.apartments.com/311-kenwood-apartments-minneapolis-mn/qysqepz/
